market,code,market_suffix,t_code,x_code
SZ,000001,01,T1001,X500102
SZ,000002,02,T110201,X530101
SZ,000006,06,T110202,X530101
SZ,000007,07,T050105,X2503
SZ,000008,08,T0703,X3201
SZ,000009,09,T0706,X300202
SZ,000010,10,T110101,X520202
SZ,000011,11,T110204,X530201
SZ,000012,12,T020603,X150201
SZ,000014,14,T110201,X530101
SZ,000016,16,T0401,X240201
SZ,000017,17,T030302,X220301
SZ,000019,19,T030206,X200601
SZ,000020,20,T1204,X400301
SZ,000021,21,T1204,X400201
SZ,000025,25,T1301,X9901
SZ,000026,26,T030302,X220301
SZ,000027,27,T010202,X620102
SZ,000028,28,T050104,X270501
SZ,000029,29,T110202,X530101
SZ,000030,30,T040202,X260302
SZ,000031,31,T110201,X530102
SZ,000032,32,T110101,X520304
SZ,000034,34,T1205,X420304
SZ,000035,35,T0805,X630203
SZ,000036,36,T110201,X530101
SZ,000037,37,T010202,X620102
SZ,000039,39,T0703,X320204
SZ,000042,42,T110201,X530101
SZ,000045,45,T1204,X400302
SZ,000048,48,T030206,X200201
SZ,000049,49,T0706,X300201
SZ,000050,50,T1204,X400301
SZ,000055,55,T020604,X150306
SZ,000056,56,T050105,X2503
SZ,000058,58,T050106,X2503
SZ,000059,59,T010302,X110301
SZ,000060,60,T020203,X140103
SZ,000061,61,T030206,X2503
SZ,000062,62,T1204,X4005
SZ,000063,63,T1202,X410103
SZ,000065,65,T110101,X520303
SZ,000066,66,T1201,X420102
SZ,000068,68,T0805,X630202
SZ,000069,69,T110201,X530101
SZ,000070,70,T1202,X410101
SZ,000078,78,T050104,X270501
SZ,000088,88,T090303,X610301
SZ,000089,89,T090302,X610202
SZ,000090,90,T110101,X520201
SZ,000096,96,T010303,X110302
SZ,000099,99,T090103,X610201
SZ,000100,00,T1204,X400301
SZ,000151,51,T0502,X2505
SZ,000153,53,T040501,X270101
SZ,000155,55,T010203,X620104
SZ,000156,56,T060102,X4307
SZ,000157,57,T0707,X320401
SZ,000158,58,T1205,X420202
SZ,000159,59,T010303,X110302
SZ,000166,66,T1002,X5101
SZ,000301,01,T0203,X120201
SZ,000333,33,T0401,X240101
SZ,000338,38,T040202,X260302
SZ,000400,00,T0706,X300302
SZ,000401,01,T020602,X150101
SZ,000402,02,T110201,X530102
SZ,000403,03,T040502,X270201
SZ,000404,04,T0401,X2406
SZ,000407,07,T0804,X6202
SZ,000408,08,T020402,X120704
SZ,000409,09,T1205,X420202
SZ,000410,10,T070401,X320202
SZ,000411,11,T050104,X270501
SZ,000415,15,T1004,X510305
SZ,000417,17,T050101,X250102
SZ,000419,19,T050101,X250103
SZ,000420,20,T0203,X120203
SZ,000421,21,T0804,X6202
SZ,000422,22,T020402,X120703
SZ,000423,23,T040503,X2706
SZ,000425,25,T0707,X320401
SZ,000426,26,T020203,X140103
SZ,000428,28,T0604,X600301
SZ,000429,29,T090301,X610102
SZ,000430,30,T060502,X600501
SZ,000488,88,T0207,X230101
SZ,000498,98,T110101,X520201
SZ,000501,01,T050101,X250102
SZ,000503,03,T1205,X420202
SZ,000504,04,T0403,X270404
SZ,000505,05,T030403,X200601
SZ,000506,06,T020204,X140201
SZ,000507,07,T010203,X620104
SZ,000509,09,T1204,X400301
SZ,000510,10,T020401,X120303
SZ,000513,13,T040501,X270101
SZ,000514,14,T110202,X530101
SZ,000516,16,T0403,X270403
SZ,000517,17,T110202,X530101
SZ,000518,18,T040502,X270205
SZ,000519,19,T070506,X3101
SZ,000520,20,T090102,X610302
SZ,000521,21,T0401,X240102
SZ,000523,23,T030403,X210602
SZ,000524,24,T060501,X600502
SZ,000525,25,T020402,X120701
SZ,000526,26,T0603,X6002
SZ,000528,28,T0707,X320401
SZ,000529,29,T030403,X210601
SZ,000530,30,T070402,X320206
SZ,000531,31,T010202,X620102
SZ,000532,32,T1004,X510303
SZ,000533,33,T0706,X300303
SZ,000534,34,T040502,X270206
SZ,000536,36,T1204,X400301
SZ,000537,37,T010203,X620104
SZ,000538,38,T040503,X2706
SZ,000539,39,T010202,X620102
SZ,000541,41,T0401,X400303
SZ,000543,43,T010202,X620102
SZ,000544,44,T0805,X630202
SZ,000545,45,T020401,X120302
SZ,000546,46,T0805,X630203
SZ,000547,47,T1202,X3105
SZ,000548,48,T090301,X610102
SZ,000550,50,T040201,X260201
SZ,000551,51,T070506,X6301
SZ,000552,52,T010101,X100101
SZ,000553,53,T020402,X120701
SZ,000554,54,T010303,X110302
SZ,000555,55,T1205,X420202
SZ,000557,57,T090101,X610101
SZ,000558,58,T060502,X600501
SZ,000559,59,T040202,X260302
SZ,000560,60,T110204,X530202
SZ,000561,61,T1202,X3103
SZ,000563,63,T1004,X510302
SZ,000564,64,T050101,X250102
SZ,000565,65,T020406,X120402
SZ,000566,66,T040501,X270101
SZ,000567,67,T1004,X510399
SZ,000568,68,T030501,X210205
SZ,000570,70,T070505,X320205
SZ,000571,71,T010101,X100101
SZ,000572,72,T040201,X260102
SZ,000573,73,T110202,X530101
SZ,000576,76,T0706,X3101
SZ,000581,81,T040202,X260302
SZ,000582,82,T090303,X610301
SZ,000586,86,T1202,X410101
SZ,000589,89,T040202,X260303
SZ,000590,90,T040503,X2706
SZ,000591,91,T010203,X620105
SZ,000592,92,T030203,X2003
SZ,000593,93,T0804,X6202
SZ,000595,95,T010203,X620104
SZ,000596,96,T030501,X210205
SZ,000597,97,T040501,X270101
SZ,000598,98,T0803,X6203
SZ,000599,99,T040202,X260303
SZ,000600,00,T010202,X620102
SZ,000601,01,T010201,X620101
SZ,000603,03,T020203,X140202
SZ,000605,05,T0803,X6203
SZ,000607,07,T0602,X430202
